Name 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54
Mike 5 0 0 0 0 0 5 0 0 1 0 5 3 0 0 0 0 3 0 0 0 0 0 3 0 5 0 0 0 0 5 5 5 3 0 0 0 3 0 0 0 5 3 0 0 0 0 5 0 5 3 0 0 0 0 
Strongbad 5 0 -3 0 -3 0 0 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 0 0 0 0 0 0 0 3 0 3 0 0 0 -5 0 1 0 5 5 1 0 0 0 5 0 1 1 0 0 0 3 
Brian 5 0 0 0 0 0 0 0 0 3 0 0 0 0 5 0 0 0 0 5 0 0 0 5 0 3 0 0 0 0 1 0 0 0 0 1 0 5 3 5 0 0 5 3 0 0 0 0 0 3 5 0 0 0 0 
DouglasAnderson 5 0 0 0 0 0 0 0 0 3 0 0 0 0 5 0 0 0 0 5 0 0 0 5 0 3 0 0 0 0 1 0 0 0 0 1 0 5 3 5 0 0 5 3 0 0 0 0 0 3 5 0 0 0 0 
chrispeh 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
RudyA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 5 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 
McLovin 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 -5 3 0 -5 0 0 0 0 0 0 0 0 -3 0 0 0 0 0 0 3 0 0 0 0 0 
MikeWilliams 3 0 5 0 0 0 5 0 0 5 0 5 0 5 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 1 1 0 5 0 3 0 0 5 5 0 5 5 3 0 0 0 0 0 1 -3 0 0 0 0 
Dude 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 5 0 0 0 -3 0 0 0 0 
Hideo 0 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 -5 0 0 0 0 5 0 0 0 5 5 0 0 0 0 0 5 5 0 0 0 0 
RudyAnn 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 0 0 -5 0 0 0 0 0 1 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 
DonWang 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 3 0 0 0 3 3 0 0 0 0 0 0 3 0 0 0 0 
Anna-Carol 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 5 0 0 0 3 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 
SubRia 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 5 0 3 -5 0 0 0 0 0 0 0 0 0 0 1 3 3 -3 0 0 0 0 3 3 1 -3 0 0 0 0 0 0 0 3 3 0 0 0 0 
Ella 0 0 0 0 0 0 0 3 0 0 3 1 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 -5 1 0 -5 0 5 0 0 1 0 0 3 0 5 0 0 0 0 0 0 0 0 0 0 0 
Leslie 5 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 -5 0 0 0 0 5 0 0 0 -5 5 0 0 0 0 0 5 5 0 0 0 0 
Sam 0 3 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
CedricJones 0 0 0 0 0 0 0 0 0 3 0 0 5 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 1 0 5 -5 0 0 0 0 0 3 0 0 0 5 0 0 0 0 0 0 0 0 5 0 0 
DonWang 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 3 0 0 0 3 3 0 0 0 0 0 0 3 0 0 0 0 
McLean 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 3 0 0 0 0 0 0 5 0 0 0 0 0 0 5 0 0 3 0 0 0 5 5 0 0 0 5 5 0 0 0 0 0 0 5 0 1 0 5 
Shannon 3 0 0 0 0 0 0 0 0 5 5 0 0 0 0 0 5 0 0 5 0 0 0 0 0 0 0 5 0 0 0 5 5 -5 0 5 0 0 5 0 5 5 5 5 0 0 5 0 0 5 5 0 5 0 0 
Joshua 0 0 0 0 0 0 0 1 0 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 -5 0 -5 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 
Jeremy 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 -5 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 
PabloSanchez 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 
Scream 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 0 -5 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 
ROFLOL 5 0 0 0 0 0 0 0 0 3 3 3 0 0 0 0 5 0 0 5 0 0 0 0 0 0 0 5 0 0 0 5 5 -5 0 5 0 0 5 5 5 5 5 5 0 0 0 0 0 5 5 0 0 0 0 
AlbusDumbledore 0 0 0 0 0 0 0 1 0 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 -3 0 -5 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 
ParseClaws 5 5 3 0 0 0 0 0 0 -5 0 3 0 0 3 0 0 0 3 0 0 0 0 5 0 5 0 1 1 0 3 1 0 0 0 -5 0 5 0 0 0 0 3 3 0 0 3 0 0 0 0 0 0 0 -3 
Tiffany 3 0 0 1 0 0 0 -3 0 5 -3 0 0 0 3 0 3 0 1 3 0 0 0 0 0 0 0 -5 1 0 5 5 0 0 0 -5 0 0 1 3 5 3 5 5 0 0 -3 0 0 5 5 3 5 0 3 
Sidney 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 3 0 0 0 0 1 0 0 0 5 5 0 0 3 0 3 0 0 0 0 5 5 0 0 5 0 3 0 3 0 0 5 5 0 0 0 0 
Tony -5 -5 -5 -5 -5 -5 -5 1 1 -5 -5 1 1 3 5 -5 1 1 5 1 -5 -5 -5 1 1 -5 1 -5 1 1 3 0 0 0 0 0 3 0 0 0 3 0 0 -3 0 -5 -5 -5 0 5 5 1 1 1 1 
Mark 5 3 0 0 0 0 0 0 0 3 0 5 0 0 3 0 0 0 1 0 0 0 0 3 0 0 0 3 3 0 5 1 0 3 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 
NuNu 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 5 0 0 0 0 0 1 3 3 0 0 0 0 0 0 0 0 0 0 0 
HamzaALi 0 0 0 0 0 0 0 -5 0 5 1 0 0 0 1 0 5 0 -3 0 3 0 0 0 0 0 0 -5 0 0 -3 5 0 5 0 3 0 0 1 0 3 1 3 5 0 0 0 0 0 1 -5 0 0 0 0 
dencellia 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 0 0 0 0 0 0 0 0 1 3 0 1 0 0 0 0 3 0 0 0 0 0 0 5 0 3 0 0 0 0 -3 3 0 0 0 0 
